time,dist,distLeft,distRight,direction,status
77.517,29.22,-1,-1,-1,DRIVING
77.574,28.03,-1,-1,-1,DRIVING
77.63,26.72,-1,-1,-1,DRIVING
77.686,25.35,-1,-1,-1,DRIVING
77.743,24.16,-1,-1,-1,DRIVING
77.798,22.58,-1,-1,-1,DRIVING
77.854,21.96,-1,-1,-1,DRIVING
77.91,20.18,-1,-1,-1,DRIVING
77.966,18.87,60.86,27.12,LEFT,OBSTACLE
80.342,59.16,-1,-1,-1,DRIVING
80.4,60.11,-1,-1,-1,DRIVING
80.458,61.05,-1,-1,-1,DRIVING
80.516,61.34,-1,-1,-1,DRIVING
